URL	資料名	コマ	郡	石高	石高_数字	旧名など	村名	GeoLOD_ID	GeoLOD_total	緯度	経度	検索リンク
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/2	阿波国郷帳	2	三好郡	千八百九拾壱石七斗弐升	1891.72		山城谷大野村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=山城谷大野村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/2	阿波国郷帳	2	三好郡	三百四拾五石八斗三升	345.83		佐野村	tkNqUL	7	34.476078	134.936752	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=佐野村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	弐百拾三石六升九合	213.069		馬地村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=馬地村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	八百三拾壱石四斗四升六合	831.446		白地村	SYQQ4W	1	34.010281	133.782501	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=白地村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	弐百九拾七石六斗弐升壱合	297.621		西山	PUIGif	1	34.042309	133.80629	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=西山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	弐百八拾六石五斗弐升	286.52		中西村	1anou3	1	34.008976	133.787598	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中西村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	千弐百三拾九石九斗弐升八合	1239.928		池田村	Gs44Q7	1	34.02448	133.80988	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=池田村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	弐百九拾五石六斗六升壱合	295.661		川崎村	g0ooyC	1	33.964153	133.76918	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=川崎村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	弐百五拾七石弐斗八升四合	257.284		大利村	dG8aKU	1	33.970791	133.787842	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=大利村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/3	阿波国郷帳	3	三好郡	四拾弐石五升六合	42.056		中津川山		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中津川山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	弐百弐石四升	202.04		松尾山		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=松尾山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	千五百三拾三石七斗五升四合	1533.754		井之川村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=井之川村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	九百拾四石壱斗六合	914.106		井之内谷		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=井之内谷
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	弐百三拾壱石四斗弐升三合	231.423		漆川山		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=漆川山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	弐千四百弐拾石九斗五合	2420.905		加茂村	dk6Oev	8	33.898479	134.552429	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=加茂村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	千四拾四石五斗三升壱合	1044.531		西之庄村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=西之庄村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	千弐百七石五斗六合	1207.506		中之庄村	F8eN27	1	33.963257	133.536484	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=中之庄村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/4	阿波国郷帳	4	三好郡	三百六拾九石七斗弐升壱合	369.721		毛田村	3QusgS	1	34.008827	133.986145	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=毛田村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	三百八拾七石九斗壱升壱合	387.911		州津村	NAkoqv	1	34.042694	133.844467	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=州津村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	五百弐拾九石四斗五升三合	529.453		東山	rS20Ky	1	34.078388	133.855759	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=東山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	千七百四拾弐石三斗七升八合	1742.378		昼間村	oOUQWQ	1	34.041908	133.871887	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=昼間村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	千三百六拾石六斗八合	1360.608		足代村	uWieAh	1	34.060501	133.909256	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=足代村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	六百弐拾石九斗四升四合	620.944		太刀野山	luEC88	1	34.081779	133.934921	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=太刀野山
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	三百拾五石七斗六升弐合	315.762		太刀野村	iqwskq	1	34.046005	133.953125	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=太刀野村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	三百八拾九石四斗五升	389.45		芝生村	6UKG6B	1	34.045971	133.969147	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=芝生村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/5	阿波国郷帳	5	三好郡	四百弐拾八石壱斗九升六合	428.196		勢力村	9e0UUj	1	34.048237	133.978912	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=勢力村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/6	阿波国郷帳	6	三好郡	五百九拾弐石七斗五升	592.75		加茂之宮村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=加茂之宮村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/6	阿波国郷帳	6	三好郡	四百九拾六石八斗弐合	496.802		清水村	fngewJ	8	34.049683	133.997223	https://geoshape.ex.nii.ac.jp/app/search-nrct?key=清水村
https://honkoku.org/app/#/transcription/A975C3501492F0576D733DCAF459B822/6	阿波国郷帳	6	美馬郡	千百六拾八石三斗六升三合	1168.363		祖谷山西山村		0			https://geoshape.ex.nii.ac.jp/app/search-nrct?key=祖谷山西山村
